"GKID";"vague";"version";"qstatus";"screenout";"rs1";"rs2";"rs3";"rs3rec";"rs4";"rs5";"rs6";"q1";"q2";"q3";"q4";"q5";"rs1a";"rs1b";"actq1";"actq2";"actq3";"actq4:1";"actq4:2";"actq4:3";"actq5";"actq6";"actq7";"actq8";"actq9[i1]";"actq9[i2]";"actq9[i3]";"actq9[i4]";"actq9[i5]";"actq9[i6]";"actq9[i7]";"actq9[i8]";"actq10:1";"actq10:2";"actq10:3";"CW_finishdate";"CW_finishtime";"CW_duration"
"q4m46369mv70";70;1;11;;;2;47;3;2;3;1;4;2;4;4;3;1;5;"LA VENTE D'AVION PAR AIRBUS";"macron";2;4;5;;1;2;2;2;2;2;2;1;1;1;1;2;7;5;6;20171116;"084440";282
"m4w94345mv70";70;1;11;;;2;37;2;1;;;2;3;2;3;3;1;4;"Emmanuel Macron et la réforme de la taxe d'habitation et du code de travail";"Emmanuel Macron et ses réformes";2;7;;;1;1;2;2;3;1;2;1;2;1;1;2;2;4;6;20171116;"131121";233
"m4t86375mv70";70;1;11;;;1;44;3;2;4;3;4;2;3;3;3;1;5;"brexit<LF>crise catalane";"allemagne<LF>chine<LF>donald trump<LF>écologie";2;3;;;1;1;2;2;1;2;2;2;1;1;1;1;7;6;5;20171115;"000620";212
"a4x98376mv70";70;1;11;;;1;38;2;2;3;1;3;3;3;2;3;1;5;"vion";"macron";3;4;;;2;2;2;2;3;1;3;1;3;1;1;3;3;2;;20171114;"203301";214
"q4m54364mv70";70;1;11;;;2;50;4;2;1;1;2;2;1;1;2;1;5;"l'élection de macron";"patrick drahi";2;4;6;1;2;1;1;1;2;2;2;1;2;1;1;1;5;;;20171115;"225726";425
"a4a96344mv70";70;1;11;;;2;61;4;2;3;6;2;3;4;2;4;1;5;"Rien ne me vient";"Emmanuel Macron";2;4;2;5;3;1;1;2;1;2;2;3;2;1;3;3;1;3;4;20171116;"132146";307
"u4z86367mv70";70;1;11;;;1;58;4;2;4;6;2;4;1;2;3;1;5;"Macron";"Macron Philippe";1;2;4;3;2;2;1;2;1;1;3;1;3;1;1;1;6;4;2;20171115;"174838";338
"y4s72368mv70";70;1;11;;;2;36;2;1;;;4;2;3;4;4;1;4;"macron";"aucune idée";2;5;4;;2;2;2;2;1;1;1;1;1;1;1;3;3;5;;20171115;"181944";272
"u4z78343mv70";70;1;11;;;2;36;2;1;;;5;2;4;3;4;1;4;"personne ! ils répètent tous la même chose en soutenant le libéralisme et le capitalisme !!! ";"personne !! ";2;4;;;2;2;3;2;1;2;2;1;1;1;1;1;4;7;5;20171116;"201326";207
"s4r86373mv70";70;1;11;;;2;47;3;2;4;6;2;4;2;3;2;1;5;"Les négociations sur le Brexit, les lois sur le code du travail";"idem";2;7;;;2;2;2;1;1;1;1;1;1;1;1;1;6;1;3;20171115;"083244";400
"u4c96375mv70";70;1;11;;;2;45;3;1;;;4;3;4;4;3;1;4;"les annonces du gouvernement";"le gouvernement";2;1;2;3;2;2;2;2;2;2;2;3;2;1;1;3;7;;;20171114;"205458";320
"q4j52365mv70";70;1;11;;;2;42;3;2;4;6;4;3;4;3;4;1;5;"modification des règles de l'ISF qui profitent aux plus aisés, alors que l'on réduit les aides aux plus défavorisés. une honte !";"les paradise papers ! ! !l'évasion fiscale est une plaie qu'il faut mieux contrôler et strictement règlementer.";2;3;4;1;1;1;1;2;2;2;2;1;2;1;1;1;7;4;8;20171115;"223149";713
"u4c84377mv70";70;1;11;;;1;46;3;2;1;1;2;3;3;5;4;1;5;"Aucune idee";"E. Macron";2;1;;;3;1;2;2;1;2;2;1;2;1;1;3;4;6;;20171114;"222331";241
"q4j82346mv70";70;1;11;;;1;49;3;2;4;4;2;4;3;3;3;1;5;"- PENICAULT / Loi travail";"Baisse du chomage";2;2;5;;1;1;1;2;1;1;1;1;1;1;1;1;6;2;1;20171116;"150854";2056
"q4j42376mv70";70;1;11;;;2;54;4;1;;;3;3;3;5;5;1;4;"Macron";"Macron<LF>augmentation de la CSG";2;1;5;4;2;2;3;2;2;2;2;1;2;1;1;3;7;4;;20171116;"222351";588
"q4j64377mv70";70;1;11;;;1;58;4;2;2;4;5;2;5;3;3;1;4;"bof";"bof";2;7;;;3;1;2;2;2;3;2;1;1;1;1;1;6;4;8;20171115;"120339";273
"w4h84367mv70";70;1;11;;;2;45;3;1;;;2;3;2;3;4;1;4;"E. Macron";"E. MAcron";1;7;;;2;2;2;2;2;2;2;1;2;1;1;2;4;;;20171115;"174448";222
"c4f78378mv70";70;1;11;;;2;47;3;2;4;3;4;2;3;2;3;1;5;"Ne se prononce pas";"Le Président";3;3;;;3;1;1;1;1;3;3;1;1;1;1;1;5;7;6;20171115;"093652";420
"m4w86365mv70";70;1;11;;;1;38;2;2;4;1;3;3;3;3;3;1;5;"Macron<LF>Hausse de la CSG";"krach boursier?<LF>Theresa May";2;5;;;2;2;2;2;1;1;2;1;2;1;1;1;6;;;20171115;"175835";617
"y4p56375mv70";70;1;11;;;1;61;4;2;4;1;2;4;3;2;3;1;5;"Macron";"Macron, Le Maire";2;2;5;4;2;1;1;1;2;2;2;1;1;1;1;1;7;5;4;20171115;"172415";280
"w4k76377mv70";70;1;11;;;2;36;2;2;4;6;6;4;6;3;3;1;5;"pas d'avis";"Pas d'avis";2;4;1;;2;2;1;2;1;1;1;1;1;1;1;1;7;5;6;20171115;"114044";3529
"u4c74345mv70";70;1;11;;;2;49;3;2;4;6;2;4;2;5;3;1;5;"nsp";"gouvernement ";2;3;2;4;2;2;3;1;2;1;2;1;3;1;1;3;4;6;2;20171116;"192231";286
"w4k88346mv70";70;1;11;;;2;56;4;1;;;5;2;4;3;3;1;4;"Les augmentations ";"Les augmentations ";2;6;2;4;2;1;2;2;2;1;3;1;1;1;3;3;2;5;8;20171116;"145427";563
"a4x28382mv70";70;1;11;;;2;22;1;2;3;1;3;2;3;2;2;1;5;"Airbus :vente historique<LF>HSBC :verse 300 millions pour éviter un procès ";"Je ne sais pas";2;1;;;2;2;1;1;2;2;2;1;2;2;1;1;4;7;8;20171115;"234456";1133
"a4x74367mv70";70;1;11;;;1;52;4;2;1;5;2;3;2;2;2;1;5;"Baisse du chomage, reprise activités industrielles.";"Nicolas Hulot";2;2;1;4;2;2;2;2;1;1;1;1;1;1;1;1;5;6;7;20171115;"182200";199
"g4v54373mv70";70;1;11;;;1;40;3;2;2;6;3;2;3;2;3;1;5;"Aucune";"La réforme de la loi travail";2;5;4;;2;2;2;2;1;1;1;1;1;1;1;3;4;1;2;20171115;"172922";251
"u4z76378mv70";70;1;11;;;1;57;4;2;4;5;2;5;3;2;3;1;5;"Macron ";"Macron";2;4;6;5;2;1;1;1;1;1;2;1;2;1;1;1;3;7;4;20171115;"210513";364
"y4p74344mv70";70;1;11;;;2;43;3;1;;;6;6;2;5;3;1;4;"Ne me prononce pas";"Ne saurais vous dire";3;5;4;;3;2;3;3;3;1;3;3;3;1;1;1;2;6;7;20171116;"195823";370
"q4m78345mv70";70;1;11;;;2;45;3;1;;;2;4;2;2;4;1;5;"macron<LF>trump";"macron";2;1;;;1;1;1;1;2;2;2;1;2;1;2;1;8;;;20171116;"192840";321
"s4r74346mv70";70;1;11;;;1;27;1;2;4;1;3;3;3;3;3;1;5;"Je ne sais pas";"Je ne sais pas";3;4;5;2;3;1;1;1;2;2;2;1;2;3;2;1;3;4;;20171116;"190836";261
"e4n72376mv70";70;1;11;;;1;37;2;1;;;3;3;3;2;3;1;4;"ras";"ras";1;2;1;3;3;2;3;3;3;3;2;1;3;1;1;3;1;4;6;20171115;"104823";231
"m4w28383mv70";70;1;11;;;2;35;2;1;;;3;3;3;2;4;1;4;"Emmanuel Macron, le Brexit";"le gouvernement";3;2;4;;3;3;3;2;1;1;1;1;1;1;1;3;3;5;4;20171114;"203151";260
"w4k54362mv70";70;1;11;;;1;38;2;2;3;6;4;2;2;1;1;1;5;"Négociations Brexit<LF>Poutine <LF>COP 23";"Poutine / Trump";2;1;3;2;3;1;1;2;2;1;2;1;2;1;1;3;2;4;6;20171116;"081533";357
"a4x52366mv70";70;1;11;;;1;46;3;2;4;1;3;2;3;3;3;1;5;"emmanuel macron";"Bruno Le Maire";2;5;3;4;2;2;2;2;1;2;1;1;2;2;1;1;1;4;;20171115;"225810";432
"m4w84342mv70";70;1;11;;;1;50;4;2;4;1;3;3;3;3;3;1;5;"ras";"ras";2;1;;;2;2;1;2;1;1;2;1;3;1;1;1;6;5;4;20171116;"161116";252
"m4t74377mv70";70;1;11;;;1;44;3;1;;;2;4;3;2;3;1;5;"Macron, Le Maire, Darmanin<LF>Choix budgétaires et fiscaux";"Macron, Brexit";1;2;6;4;2;2;1;1;1;1;1;1;1;1;2;3;2;6;3;20171115;"104745";342
"s4r36385mv70";70;1;11;;;1;39;2;1;;;2;4;3;3;3;1;4;"Signature ceta ";"Attitude BCE";2;3;4;;2;2;2;2;1;1;1;1;1;1;1;1;4;7;2;20171114;"182854";277
"a4x58363mv70";70;1;11;;;1;25;1;2;1;5;3;3;2;2;3;1;5;"Macron";"Macron ";1;1;3;4;2;1;1;1;2;1;1;1;2;1;2;2;4;1;5;20171115;"230701";237
"y4p96374mv70";70;1;11;;;1;35;2;1;;;3;3;3;2;4;1;4;"Loi travail";"Macron";2;5;;;2;2;2;2;1;1;3;1;1;1;1;1;3;6;1;20171114;"210227";338
"q4j58376mv70";70;1;11;;;1;41;3;2;1;3;3;4;2;3;3;1;5;"macron";"macron";2;5;4;2;3;2;2;1;2;1;1;1;2;2;2;1;2;4;3;20171115;"172348";542
"w4k66374mv70";70;1;11;;;1;29;1;1;;;3;4;3;3;4;1;4;"personne";"la bce";2;5;;;2;2;2;2;1;1;1;1;1;1;1;1;8;7;5;20171115;"130715";207
"s4u58376mv70";70;1;11;;;2;34;2;2;1;5;2;3;2;3;2;1;5;"MACRON, les attentats";"je ne sais pas";2;8;;;2;2;2;2;1;1;2;1;3;1;1;3;2;7;;20171115;"172233";331
"g4v98374mv70";70;1;11;;;2;40;3;2;4;2;3;3;3;3;3;1;5;"Macron";"1er ministre<LF>Jeux olympiques ";2;4;3;2;3;1;2;2;3;1;2;1;3;3;1;3;2;4;7;20171114;"210138";460
"g4v65362mv70";70;1;11;;;1;29;1;1;;;2;4;2;2;3;1;4;"Emmanuel Macron";"Emmannuel Macron";1;1;;;2;1;1;2;1;1;1;3;3;1;1;1;3;6;8;20171115;"205742";313
"m4w64378mv70";70;1;11;;;1;29;1;1;;;3;3;3;3;3;1;4;"Personne";"personne";2;4;;;3;2;2;2;1;2;2;1;1;1;1;3;4;5;;20171115;"145603";11243
"y4s86375mv70";70;1;11;;;2;52;4;1;;;3;4;3;3;3;1;4;"Emmanuel Macron<LF>E Philippe<LF>l'annonce du Brexit";"Le brexit<LF>Macron";2;1;;;2;2;2;2;3;3;3;1;1;1;1;3;5;4;7;20171114;"234950";442
"u4c24386mv70";70;1;11;;;2;52;4;2;4;6;1;4;1;2;2;1;3;"Brexit<LF>Contexte mondial plus porteur<LF>BTP redémarre";"La fiscalité en France";2;8;;;1;1;2;1;2;2;2;3;2;1;1;1;6;7;8;20171114;"195644";808
"m4t26384mv70";70;1;11;;;2;49;3;2;4;4;2;4;2;2;2;1;5;"Macaron et l'élection en France le brexit";"La sortie effective du uk de leurope l allemagne";2;1;;;3;2;2;2;3;2;1;1;3;1;1;3;5;7;4;20171114;"202425";373
"q4m96372mv70";70;1;11;;;2;36;2;1;;;3;3;2;3;3;1;4;"Je ne sais pas";"Je ne sais pas";3;2;4;;3;2;2;1;3;1;3;3;1;3;1;3;4;7;2;20171114;"212816";346
