"GKID";"vague";"version";"qstatus";"screenout";"rs1";"rs2";"rs3";"rs3rec";"rs4";"rs5";"rs6";"q1";"q2";"q3";"q4";"q5";"rs1a";"rs1b";"actq1";"actq2";"actq3";"actq4:1";"actq4:2";"actq4:3";"actq5";"actq6";"actq7";"actq8";"actq9[i1]";"actq9[i2]";"actq9[i3]";"actq9[i4]";"actq9[i5]";"actq9[i6]";"actq9[i7]";"actq9[i8]";"actq10:1";"actq10:2";"actq10:3";"CW_finishdate";"CW_finishtime";"CW_duration"
"w4h52363mv70";70;1;11;;;1;36;2;1;;;1;5;1;3;1;1;4;"Macron ";"Macron ";2;4;1;2;2;2;1;1;1;2;3;3;1;1;3;1;4;1;5;20171115;"232745";285
"c4f86374mv70";70;1;11;;;1;25;1;1;;;2;4;2;3;2;1;4;"Emmanuel Macron";"Emmanuel Macron";2;2;3;;2;2;2;2;1;1;1;1;1;1;1;1;2;3;1;20171115;"072106";240
"g4v92377mv70";70;1;11;;;2;40;3;2;4;3;4;2;4;2;1;1;5;"Macron";"Macron";2;6;;;2;2;1;2;1;3;3;1;3;1;1;1;4;6;7;20171116;"072606";263
"u4c92343mv70";70;1;11;;;1;59;4;1;;;5;1;5;3;4;1;4;"Gréves contre les ordonnances sur le code du travail.<LF>diminution des APL.<LF>CSG en hausse.<LF>Report de la diminution de taxe d'habitation.<LF>JL Mélenchon<LF>Trump";"Martinez<LF>Macron";2;5;4;;2;2;1;2;2;1;1;1;1;1;1;1;4;8;7;20171116;"132437";379
"w4h58374mv70";70;1;11;;;1;60;4;2;1;6;4;2;4;2;3;1;5;"Corée / USA";"Trump";2;1;4;3;2;2;1;2;2;1;2;1;2;1;1;1;2;4;7;20171115;"172823";452
"u4c86372mv70";70;1;11;;;2;39;2;2;1;6;4;3;4;3;3;1;5;"aucun";"aucun";3;4;;;3;2;1;2;2;2;2;3;3;1;1;3;7;;;20171115;"090646";214
"y4p88378mv70";70;1;11;;;1;38;2;2;2;1;4;2;4;3;4;1;5;"Macron avec ses réformes débiles qui favorisent les riches!";"comment prédire l'avenir?";2;4;;;3;1;2;2;2;2;2;1;1;1;1;1;8;6;;20171114;"215658";303
"y4s98373mv70";70;1;11;;;1;37;2;2;4;5;4;1;4;2;3;1;5;"BREXIT, baisse du baril de petrole, ";"coupe du monde , uberisation de la societe ,";2;4;;;2;2;2;2;2;2;2;1;2;1;1;1;6;4;7;20171114;"212651";658
"y4p78375mv70";70;1;11;;;1;32;2;2;1;1;4;2;2;3;2;1;5;"Je ne sais pas";"Je ne sais pas";1;1;5;2;2;1;2;2;1;1;1;1;1;1;1;1;3;;;20171115;"110706";1217
"y4p44363mv70";70;1;11;;;2;50;4;1;;;2;4;3;2;2;1;4;"Macron, Merkel";"Macron, Merkel";2;5;6;;3;2;1;1;1;3;3;1;1;1;1;3;1;4;;20171116;"122525";253
"s4u86377mv70";70;1;11;;;1;41;3;1;;;4;3;4;3;3;1;4;"ordonnances travail, réforme ISF et CSG";"réforme chômage, brexit, trump";2;5;2;4;2;2;1;2;1;1;3;1;3;1;1;1;4;7;2;20171114;"222502";268
"u4z58365mv70";70;1;11;;;1;22;1;1;;;3;2;2;1;3;1;4;"Je ne sais pas";"Aucune idée";3;6;5;;2;2;3;2;1;3;3;1;1;1;1;3;7;4;6;20171115;"222933";1276
"u4z98349mv70";70;1;11;;;2;49;3;1;;;4;2;3;2;3;1;4;"macron";"Noel";3;4;2;1;2;1;2;3;1;3;3;1;1;1;1;1;2;7;4;20171116;"123449";271
"g4v92348mv70";70;1;11;;;2;61;4;2;2;6;3;3;3;2;4;1;5;"JE NE SAIS PAS";"JE NE SAIS PAS";2;5;;;2;2;2;2;1;1;1;1;1;1;1;1;6;1;4;20171116;"125301";359
"s4r78363mv70";70;1;11;;;2;45;3;1;;;4;2;3;3;3;1;4;"Affrontements usa Corée";"Les courses de Noël";2;5;4;;2;2;2;2;1;1;2;1;1;1;1;1;8;2;5;20171115;"190122";222
"s4r66366mv70";70;1;11;;;2;55;4;1;;;2;4;3;2;4;1;4;"Airbus décroche la plus importante commande de l’histoire de l’aéronautique: 430 moyen-courriers A320 Neo pour une valeur de 42 milliards d’euros";"SANS AVIS";2;7;;;3;1;1;1;1;1;3;3;3;1;3;3;2;6;4;20171115;"211033";3062
"y4s24389mv70";70;1;11;;;2;40;3;1;;;2;2;4;3;4;1;4;"La peur climatique et la bêtise de Trump ";"Si jing Ping <LF>Trump";2;5;4;2;2;2;2;2;1;1;1;1;1;1;1;1;5;4;2;20171114;"191658";389
"q4m72376mv70";70;1;11;;;2;49;3;2;4;6;5;2;5;4;4;1;4;"abolition ISF";"ne sais pas";2;5;;;1;2;1;2;1;1;2;1;1;1;1;1;6;7;;20171115;"104847";267
"u4z82364mv70";70;1;11;;;1;49;3;2;1;6;2;2;3;2;3;1;5;"Macron<LF>Bill gates";"Macron<LF>Merkel";2;7;;;3;2;1;2;2;1;1;1;1;2;1;1;5;3;4;20171115;"180429";464
"q4j88372mv70";70;1;11;;;1;56;4;1;;;4;4;4;3;3;1;4;"DONALD TRUMP<LF>MACRON";"TRUMP<LF>MACRON";2;5;2;1;2;2;1;2;1;2;1;1;1;1;1;1;3;4;5;20171115;"083827";360
"a4x54375mv70";70;1;11;;;1;49;3;2;4;4;3;2;3;3;3;1;5;"Le terrorisme<LF>Les hommes politiques";"personne";2;4;;;2;2;1;1;3;2;3;1;3;1;1;1;6;4;7;20171115;"172532";350
"m4t66368mv70";70;1;11;;;1;33;2;2;4;4;3;2;3;5;3;1;5;"aucun";"ras";2;5;;;4;1;2;2;3;1;2;1;3;2;1;1;7;2;4;20171115;"200230";207
"c4f56364mv70";70;1;11;;;1;44;3;1;;;3;4;3;3;3;1;4;"Catalogne indépendante ";"Brexit<LF>Baisse taxe habitation ";2;4;2;5;2;2;2;2;1;3;3;1;1;1;1;1;7;4;6;20171115;"230319";296
"e4q74375mv70";70;1;11;;;2;25;1;2;3;6;5;2;4;3;4;1;5;"Ministre de l'économie, pays voisins dont l'Allemagne";"Aucune idée";2;5;;;2;2;2;2;1;1;1;1;1;1;1;1;2;4;7;20171115;"105610";273
"g4v52378mv70";70;1;11;;;2;26;1;2;3;3;2;3;2;3;3;1;5;"nsp";"nsp";2;3;1;6;2;2;2;1;3;1;1;1;3;3;1;3;5;3;7;20171115;"160846";847
"e4n62373mv70";70;1;11;;;1;48;3;1;;;2;5;3;3;3;1;4;"la politique du nouveau gouvernement";"Macron";2;1;5;3;2;2;2;2;3;1;1;1;3;1;1;3;3;;;20171115;"133539";305
"g4y98379mv70";70;1;11;;;2;48;3;1;;;4;3;3;3;4;1;4;"Aucune idee";"Aucune idee";2;4;5;;1;1;2;2;2;2;2;1;1;1;1;3;5;4;6;20171116;"010328";506
"m4w46366mv70";70;1;11;;;2;37;2;2;1;6;4;3;5;4;4;1;3;"ne se prononce pas";"le président";2;4;2;;3;1;1;2;1;2;2;1;2;1;1;2;4;6;7;20171116;"111059";310
"e4n86368mv70";70;1;11;;;1;30;2;2;2;6;2;4;2;3;4;1;5;"La suppression de la taxe d'habitation pour une certaine catégorie de la population";"Emmanuel MACRON et ses décisions";3;1;3;;2;2;2;2;3;1;2;3;3;1;1;1;6;2;5;20171115;"174157";224
"q4j98375mv70";70;1;11;;;1;41;3;2;4;3;2;4;3;2;3;1;5;"Emmanuel macron";"Réforme de la loi travail";2;3;2;1;2;2;1;2;1;1;1;1;2;1;1;1;6;;;20171114;"204026";243
"w4k64365mv70";70;1;11;;;1;36;2;1;;;2;2;2;2;3;1;4;"Macron, la loi travail";"Macron et son gvt";3;4;2;5;2;2;2;2;1;1;1;1;1;3;1;1;8;5;;20171115;"205622";982
"w4h66369mv70";70;1;11;;;1;31;2;1;;;4;3;2;3;3;1;4;"Macron";"Macron";2;3;;;2;2;1;2;2;2;2;1;1;1;1;2;8;5;4;20171115;"193907";316
"y4s62379mv70";70;1;11;;;1;48;3;2;4;6;4;2;3;3;4;1;5;"Donald Trump, Brexit, Corée du Nord";"Donald Trump, Brexit, Corée du Nord";2;7;;;3;2;1;2;2;1;1;1;2;1;1;1;2;8;1;20171115;"114424";438
"e4n88362mv70";70;1;11;;;1;50;4;2;4;5;2;4;2;3;2;1;5;"Macron";"Macron";2;5;;;2;2;2;2;1;2;2;1;1;1;1;1;7;8;6;20171116;"223345";102552
"a4x64378mv70";70;1;11;;;1;55;4;2;4;1;5;1;5;3;4;1;5;"melanchon";"macron";2;1;2;6;1;3;3;2;2;2;2;1;1;2;1;1;4;8;7;20171115;"115658";240
"g4v68364mv70";70;1;11;;;2;47;3;1;;;2;3;3;2;2;1;4;"Emmanuel Macron<LF>Cop23";"Macron";2;7;;;2;2;1;2;1;1;1;3;1;1;1;1;3;;;20171115;"210452";2102
"y4p84362mv70";70;1;11;;;2;35;2;2;1;6;5;2;4;3;3;1;5;"Macron";"Macron";2;5;;;2;2;2;2;1;2;2;2;1;1;1;1;6;7;8;20171115;"181646";562
"g4v78367mv70";70;1;11;;;1;45;3;2;4;6;2;4;2;1;2;1;4;"?";"?";2;4;;;1;1;1;1;1;2;2;1;2;1;1;1;7;4;1;20171115;"182226";273
"s4u82374mv70";70;1;11;;;1;51;4;2;4;3;5;1;3;3;2;1;5;"Moi travail, ouragan, D.Trip et E.Macron";"Accord de la nouvelle alliance européenne ";2;4;5;;1;2;1;2;1;1;2;3;2;1;1;3;7;5;6;20171115;"023427";507
"a4a72377mv70";70;1;11;;;1;26;1;2;2;6;1;1;1;3;2;1;5;"Macron <LF>Brexit<LF>Trump";"Trump <LF>Macron";1;5;1;3;2;1;1;1;2;2;1;3;1;3;3;1;2;4;;20171115;"105942";1116
"y4p64369mv70";70;1;11;;;1;51;4;1;;;3;3;4;3;4;1;4;"Macron";"?";3;4;1;;3;2;3;2;1;1;2;1;2;2;3;1;2;8;1;20171115;"193501";433
"y4s26384mv70";70;1;11;;;1;56;4;2;4;5;2;4;4;2;4;1;5;"Optimisation fiscale des groupes mondiaux";"Macron<LF>Trump";2;5;4;1;2;2;1;2;1;1;1;1;1;1;1;1;2;4;8;20171114;"201909";488
"w4k28384mv70";70;1;11;;;1;29;1;2;4;1;3;3;2;2;2;1;5;"nsp";"nsp";2;2;3;1;1;1;2;2;2;1;2;1;2;2;1;2;7;2;;20171114;"202226";429
"g4y76349mv70";70;1;11;;;1;53;4;1;;;2;3;2;2;3;1;4;"poursuite des attentats malgré le recul de l'état islamique";"Emmanuel Macron";2;7;;;2;2;2;2;1;1;2;1;1;1;1;1;4;2;5;20171116;"165002";203
"u4z88375mv70";70;1;11;;;2;31;2;2;4;6;2;4;3;2;2;1;5;"Macron, airbus, jo";"Macron, jo";1;6;4;;2;2;2;2;2;2;2;1;2;1;1;2;5;7;6;20171114;"231723";252
"m4t78379mv70";70;1;11;;;1;28;1;2;2;3;3;4;2;2;2;1;5;"MACRON - ORDONNANCE - LOI TRAVAIL - TRUMP - ATTENTATS - CHOMAGE";"MACRON - COP 23 - MERKEL - TRUMP - HULLOT ";2;6;2;5;2;2;1;2;1;1;1;1;1;1;1;1;5;4;3;20171115;"095022";2142
"c4f86345mv70";70;1;11;;;1;49;3;1;;;2;3;2;5;4;1;4;"?";"macron";2;3;1;5;3;2;3;2;1;3;2;2;3;3;1;3;8;7;;20171116;"151741";228
"g4y78373mv70";70;1;11;;;1;61;4;2;2;6;5;1;4;4;4;1;5;"le vote des différents budgets à l'assemblée nationale";"la loi de finances pour l'année 2018";3;7;;;3;1;3;2;2;2;2;2;2;2;1;2;3;;;20171115;"111918";406
"a4a88349mv70";70;1;11;;;1;32;2;2;2;1;3;2;3;2;3;1;5;"NSPP";"NSP";1;1;6;;2;2;2;2;2;1;2;1;2;1;1;1;5;4;;20171116;"174430";322
"u4z88346mv70";70;1;11;;;1;53;4;2;4;1;3;4;3;3;3;1;5;"La loi travail (effet négatif). Attributions des JO et coupe du monde de rugby (effets positifs mais à moyen terme, pas à court terme).";"JO et coupe du monde de rugby";2;5;;;2;2;2;1;1;1;2;1;1;1;1;2;4;2;1;20171116;"142912";436
"u4z42365mv70";70;1;11;;;2;41;3;2;4;1;6;6;3;4;4;1;5;"AUCUNE IDEE";"aucune idéé";2;3;1;;2;2;2;2;1;2;2;1;3;3;1;1;8;;;20171116;"120526";2757
"e4n82379mv70";70;1;11;;;1;36;2;2;4;1;4;2;4;3;3;1;5;"Loi Travail";"mondialisation";2;7;;;1;1;2;3;2;2;2;2;2;1;3;2;7;;;20171114;"214246";219
"s4r72366mv70";70;1;11;;;1;34;2;2;2;1;2;4;3;3;4;1;5;"Aucune idée ";"Aucune idée ";2;2;4;;2;2;2;2;2;1;1;3;2;1;1;3;3;6;2;20171115;"184137";853
"m4t82372mv70";70;1;11;;;2;58;4;2;4;1;4;2;4;3;3;1;5;"les attentats malheureusement<LF>melanchon macron";"mondialisaton<LF>macron";2;5;4;;2;2;2;2;1;1;1;1;1;1;1;1;1;5;2;20171115;"085118";225
"a4x64364mv70";70;1;11;;;2;39;2;1;;;6;6;3;3;4;1;4;"???";"???";2;7;;;1;2;2;2;2;2;2;1;2;1;3;2;1;;;20171115;"203651";339
"m4t76372mv70";70;1;11;;;1;27;1;1;;;3;2;3;3;3;1;4;"taxes et impôts";"neant";2;5;4;2;2;2;2;2;2;1;2;1;1;1;1;2;7;6;1;20171115;"113728";318
"s4r28389mv70";70;1;11;;;2;51;4;1;;;4;2;4;3;4;1;4;"presidence macron<LF>brexit";"aucune idée";2;4;3;1;2;2;2;2;1;2;2;1;1;1;1;3;3;;;20171114;"191024";222
"e4q78364mv70";70;1;11;;;1;38;2;2;2;6;2;4;1;2;2;1;5;"Emmanuel Macron<LF>Les bons chiffres de la croissance française et européenne";"Emmanuel Macron";2;7;;;2;2;2;2;1;1;1;1;1;1;1;1;1;2;6;20171115;"190104";382
"g4v76345mv70";70;1;11;;;2;48;3;1;;;4;3;4;3;3;1;4;"Les mesures de Monsieur MACRON sur la loi travail, sur les mesures sociales";"aucune idée";2;5;1;3;2;2;1;2;3;1;1;1;1;1;1;1;4;6;7;20171116;"193406";305
"e4n76365mv70";70;1;11;;;1;54;4;1;;;2;3;3;3;4;1;5;"toujours plus de taxes";"aucun";2;7;;;3;2;1;2;2;2;3;1;3;3;1;1;5;8;4;20171115;"183905";260
"y4s92375mv70";70;1;11;;;2;43;3;2;4;4;3;1;3;3;2;1;5;"la loi travail";"Emmanuel Macron ";2;5;4;6;2;2;2;2;2;3;1;3;2;1;1;1;7;6;8;20171114;"205034";683
"g4y72346mv70";70;1;11;;;1;29;1;2;4;6;2;4;2;2;2;1;5;"- Emmanuel Macron qui engage une pensée positive dans l'économie.";"Emmanuel Macron, le comportement des Etats-Unis et de la Corée du nord. Le développement des monnaies virtuelles";1;4;6;1;2;2;2;2;1;1;2;1;1;2;2;1;4;2;1;20171116;"190820";372
"a4x88344mv70";70;1;11;;;2;41;3;1;;;4;2;3;3;3;1;4;"la réduction des subventions des dotations et des aides";"aucune idée";2;6;1;4;3;2;2;2;2;2;2;1;1;1;1;1;6;7;4;20171116;"152047";391
"m4t68362mv70";70;1;11;;;1;46;3;1;;;2;4;2;2;4;1;4;"Macron";"Macron";2;4;5;;2;2;2;2;1;1;2;1;2;1;1;3;1;4;6;20171115;"204536";303
"a4a74343mv70";70;1;11;;;2;36;2;2;4;3;4;4;3;3;3;1;5;"Trip marron le beurrr";"Coupe d Europe<LF>Jo<LF>Trump brexit";2;3;1;;3;1;2;2;1;3;3;1;3;1;1;1;7;8;;20171116;"200451";337
"a4a56374mv70";70;1;11;;;2;52;4;2;4;6;2;2;2;2;2;1;5;"Attentats en France<LF>Elections américaines<LF>Elections françaises<LF>Barak Obama<LF>Emmanuel Macron";"Emmanuel Macron<LF>GDPR";2;6;5;;2;2;1;2;1;1;2;2;2;1;1;1;6;8;;20171115;"172725";306
"e4q84349mv70";70;1;11;;;2;40;3;2;4;5;3;3;2;2;5;1;5;"macron<LF>paradise papers<LF>lidl";"macron<LF>cop23";2;1;3;2;2;2;2;2;1;1;2;1;1;1;1;1;4;8;1;20171116;"134558";227
"y4s68363mv70";70;1;11;;;1;29;1;1;;;2;4;1;1;2;1;4;"Emmanuel Macron<LF>Donald Trump<LF>Angela Merkel<LF>Pierre Gattaz";"En terme d'événement, les fêtes de fin d'année seront un bon moment pour l'économie, mais pas exceptionnel. Pour les personnalités, je pense que ce sera classique, principalement les chefs d'état, d'entreprise et inistres";2;4;1;3;2;2;2;2;1;1;2;1;1;1;1;1;6;4;5;20171115;"205116";778
"y4s66368mv70";70;1;11;;;2;56;4;1;;;4;3;2;2;4;1;4;"je ne sais pas.";"Je ne sais pas.";2;7;;;1;2;3;2;2;1;1;1;2;1;1;1;7;3;2;20171115;"202201";2089
"e4q62363mv70";70;1;11;;;2;46;3;2;4;5;2;3;2;4;3;1;5;"macron flat taxe prelevement à la source";"bce";2;7;;;2;2;2;2;1;1;1;2;1;1;1;1;4;;;20171115;"204822";757
"c4f32383mv70";70;1;11;;;2;33;2;1;;;3;6;3;2;2;1;4;"Macron";"?";3;8;;;2;2;2;2;3;3;2;1;3;1;1;3;6;3;4;20171114;"190518";238
"y4s68377mv70";70;1;11;;;2;25;1;1;;;3;3;3;4;3;1;5;"MACRON";"MACRON";1;1;4;3;1;2;1;1;1;1;1;1;1;1;1;1;3;;;20171115;"120416";199
"m4t52376mv70";70;1;11;;;1;39;2;2;2;6;3;3;2;2;2;1;5;"Taxe pour rembourser les 10 milliards";"Aucune idée";1;4;2;1;2;2;1;2;1;2;2;1;2;1;1;1;4;;;20171116;"142834";76340
"u4z82349mv70";70;1;11;;;1;50;4;2;2;6;4;2;4;3;3;1;5;"?";"?";3;4;;;3;1;3;2;2;2;2;2;2;2;1;2;1;7;;20171116;"134709";317
"e4n88376mv70";70;1;11;;;1;52;4;1;;;4;2;4;3;3;1;4;"Loi travail<LF>Macron<LF>Gattaz";"Attaques contre les salariés<LF>Gattaz<LF>Macron<LF>Philippe";2;4;;;1;2;2;2;2;1;1;3;1;3;1;1;5;3;2;20171114;"225259";427
"q4j46365mv70";70;1;11;;;1;29;1;2;3;1;2;2;2;2;1;1;5;"Macron";"Na";2;5;2;;2;2;1;1;3;3;2;1;1;2;2;1;6;;;20171116;"121950";248
"y4p88364mv70";70;1;11;;;2;47;3;2;4;6;6;4;4;2;5;1;5;"macron trump indépendance de la catalogne, le négociation du brexit";"macron, le brexit, l'Espagne, la Catalogne et la délocalisation des entreprises, delocalisation de castorama et brico depot en Pologne";2;5;4;3;3;2;1;1;1;3;2;1;3;1;1;1;2;4;6;20171115;"181111";1182
"u4z52368mv70";70;1;11;;;2;60;4;1;;;2;4;3;2;3;1;4;"Emmanuel Macron Christine Lagarde";"je ne sais pas";2;4;5;1;1;1;2;2;2;1;2;1;2;1;1;2;6;;;20171115;"211849";315
"q4m54378mv70";70;1;11;;;1;29;1;2;4;1;2;4;2;2;2;1;5;"Paradise Papers";"Suppression de l'ISF";2;2;4;5;2;2;2;2;1;1;1;1;2;1;2;1;2;6;4;20171115;"155041";220
"g4y74369mv70";70;1;11;;;1;47;3;2;4;5;3;4;2;2;2;1;5;"Donald TRUMP ET NICOLAS SARKOZY";"Le prélèvement à la source des impôts sur le revenu";2;1;2;;2;2;1;2;1;1;1;1;1;1;1;1;4;6;2;20171115;"181644";413
"e4q84378mv70";70;1;11;;;1;37;2;2;4;1;3;4;3;2;3;1;4;"Macron";"Macron";2;7;;;3;2;1;2;1;1;1;1;2;1;2;1;5;4;;20171114;"220842";413
"u4c26352mv70";70;1;11;;;1;38;2;2;1;1;3;2;3;2;3;1;5;"personne";"personne";3;1;;;1;1;2;2;2;2;2;1;2;1;1;2;6;;;20171116;"123132";210
"w4k86366mv70";70;1;11;;;1;30;2;1;;;3;4;2;3;3;1;4;"Xavier Niel, Elon Musk, Emmanuel Macron";"Xi Jinping, Narendra Modi";2;4;2;1;3;1;2;2;2;2;2;1;2;2;1;1;6;8;4;20171115;"175025";347
"g4v82345mv70";70;1;11;;;2;56;4;2;3;4;3;4;3;3;3;1;5;"La baisse du chômage et l'annonce de la suppression de la taxe d'habitation";"la baisse de la taxe d'habitation";2;5;4;;3;2;1;2;2;2;2;1;2;1;1;1;4;7;6;20171116;"150904";258
"m4t74348mv70";70;1;11;;;2;60;4;1;;;5;3;3;3;3;1;4;"Je ne sais pas";"Je ne sais pas";2;4;5;;2;2;3;3;1;3;3;1;3;1;1;3;6;7;5;20171116;"183644";284
"s4r56377mv70";70;1;11;;;1;58;4;1;;;2;4;3;2;5;1;4;"Le Harcèlement<LF>Les paradis papers";"Le président de la république M. MACRON<LF>Le 1° Ministre M. PHILIPPE";2;3;1;6;2;2;2;2;1;1;1;1;1;1;1;3;4;2;3;20171115;"170629";412
"m4w76347mv70";70;1;11;;;2;33;2;1;;;3;3;3;2;3;1;4;"macron";"aucune idée";2;2;5;4;2;2;2;2;1;1;3;1;1;1;1;1;4;6;3;20171116;"190001";289
"u4c56362mv70";70;1;11;;;1;37;2;2;1;5;2;4;2;3;2;1;5;"L'arrivée de MACRON";"MACRON si il &quot<SEP>libère&quot<SEP> le pays";2;2;5;4;3;2;2;2;1;1;1;1;1;1;1;1;1;8;2;20171116;"084953";1064
"u4z72375mv70";70;1;11;;;1;45;3;1;;;3;4;2;2;3;1;4;"La loi travail";"La COP23";2;5;4;;2;1;2;2;1;1;2;1;1;1;1;1;1;8;6;20171115;"113657";2668
"u4c66379mv70";70;1;11;;;2;57;4;1;;;5;2;5;4;4;1;4;"En bien ou en mal ?<LF>Hollande Sarkozy DSK<LF>La sortie du Brexit<LF>Les attentats terroristes";"en bien ou en mal ?<LF>Macron Hulot, le Brexit<LF>Les attentats";2;4;5;;2;2;2;2;2;1;1;1;1;1;1;1;3;;;20171115;"115018";320
"g4y48363mv70";70;1;11;;;2;56;4;2;4;6;3;3;4;2;4;1;5;"Patrick Drahi  Glysophate de Monsanto General Elec tric";"Code du travail en refection et ses implications";2;3;5;2;2;1;2;2;3;1;2;1;1;1;1;1;4;2;6;20171116;"165258";378
"q4j74366mv70";70;1;11;;;1;39;2;2;1;1;3;3;5;2;2;1;5;"La réforme du travaux par Emanuel Macron";"Le président et ses réformes ainsi que les differentes réactions des grands groupe industriels";2;4;6;;1;2;1;2;2;2;2;1;1;1;1;1;6;5;8;20171115;"185704";1517
"y4s78366mv70";70;1;11;;;1;38;2;1;;;5;4;3;3;3;1;4;"NSP";"NSP";2;7;;;3;2;2;2;2;2;2;1;1;1;1;3;6;;;20171115;"184013";356
"q4j64363mv70";70;1;11;;;1;40;3;2;4;6;3;4;3;1;3;1;4;"baisse de l'allocation logement";"aucune idée";2;2;4;;2;2;3;2;2;1;1;1;1;1;3;3;5;;;20171115;"204048";233
"a4a76366mv70";70;1;11;;;1;59;4;1;;;3;4;3;4;4;1;4;"??????";"?????";3;8;;;2;2;3;2;2;2;2;1;2;1;1;2;4;;;20171115;"183455";426
"m4w58378mv70";70;1;11;;;1;38;2;1;;;3;4;3;2;3;1;4;"drahi";"ne sais pas";3;2;4;;2;2;2;3;3;1;3;3;3;1;1;3;2;7;6;20171115;"161128";297
"u4c78348mv70";70;1;11;;;2;37;2;2;1;6;4;2;3;2;3;1;5;"Murielle Pénicaud et Emmanuel Macron qui ont marqué l’econ Mais pas positivement ";"Hélas Emmanuel Macron mais pas positivement ";2;5;2;4;2;2;2;2;1;1;1;1;1;1;1;1;3;5;4;20171116;"183956";431
"s4r32382mv70";70;1;11;;;1;61;4;2;2;5;3;4;2;2;3;1;5;"Macron, Brexit";"Macron, Brexit";1;4;3;1;2;2;1;1;1;1;2;1;1;1;1;2;4;7;;20171114;"191119";510
"w4k82363mv70";70;1;11;;;1;60;4;2;4;5;2;4;2;2;2;1;5;"L’election Présidentielle.<LF>Emmanuel Macron.";"L’evolution de la construction européenne par le couple Franco-allemand, et le Brexit.";2;5;1;;2;2;1;1;1;2;2;1;2;1;1;1;6;4;7;20171115;"180621";379
"w4h54372mv70";70;1;11;;;1;42;3;1;;;2;4;3;2;3;1;4;"le président macron<LF>la baisse du nombre chomeurs<LF>la hausse annoncée de la CSG";"la hausse annoncée de la CSG<LF>la coupe du monde de foot";2;6;1;2;2;2;3;1;1;1;2;1;2;1;2;1;6;;;20171115;"173705";224
"a4a64368mv70";70;1;11;;;2;27;1;2;1;6;6;6;3;2;2;1;3;"aucune idée";"aucune idée non plus";2;3;1;2;2;2;2;2;3;1;1;1;1;1;1;1;5;1;4;20171115;"194346";320
"q4j22384mv70";70;1;11;;;1;45;3;2;1;6;3;3;3;2;3;1;4;"aucune idée";"la hausse des salaires !";2;1;3;;2;2;2;3;1;1;1;1;1;1;1;1;7;3;2;20171114;"201455";234
"m4w74367mv70";70;1;11;;;1;60;4;2;4;1;2;4;4;1;4;1;5;"La loi Travail";"Gérald Darmanin";2;7;;;1;1;3;2;2;2;2;1;2;2;2;2;4;;;20171115;"182524";441
"w4k24352mv70";70;1;11;;;1;63;4;1;;;3;3;3;2;2;1;4;"macron trump";"macron trump";3;4;5;1;2;2;1;2;1;1;3;1;1;1;1;1;8;5;4;20171116;"125420";761
"s4u88372mv70";70;1;11;;;2;43;3;2;4;6;5;1;5;4;4;1;5;"Le problème de l'économie en France et en Europe ne se résume pas aux deux derniers mois...";"mêmes réponses que précedements";3;3;1;6;3;2;2;2;2;2;3;3;3;1;3;3;5;6;7;20171115;"092139";612
"u4c36384mv70";70;1;11;;;1;45;3;2;2;6;3;2;2;3;3;1;5;"Emmanuel Macron";"Le prélèvement de l'impôt à la source";2;4;2;;1;1;1;2;1;2;2;3;2;1;1;3;6;1;7;20171114;"185815";404
"a4x46366mv70";70;1;11;;;1;39;2;1;;;3;3;3;3;3;1;4;"Macron, loi travail";"NSP";2;4;2;5;2;2;2;2;1;1;1;1;1;1;1;1;6;3;1;20171116;"111009";238
"e4n82365mv70";70;1;11;;;2;27;1;1;;;3;4;2;3;3;1;4;"Rien dans les deux derniers mois ";"La situation entre la Corée et les États Unis. <LF>L'indépendance ou non de la Catalogne ";2;4;5;1;2;2;2;2;3;3;3;3;3;1;1;1;7;8;;20171115;"180043";843
"e4q96347mv70";70;1;11;;;2;55;4;2;1;2;5;2;4;4;4;1;5;"le ministre du travail";"aucune idée";2;4;;;3;1;2;2;2;2;2;3;2;3;3;3;1;;;20171116;"125722";226
"q4j88343mv70";70;1;11;;;2;43;3;2;4;3;3;4;4;3;2;1;5;"rien";"rien";2;5;3;4;2;2;2;2;1;1;1;1;1;1;1;1;6;;;20171116;"153155";262
"q4m94377mv70";70;1;11;;;2;56;4;1;;;2;3;3;1;3;1;4;"la loi travail <LF>Emmanuel Macron ";"Emmanuel Macron <LF>Donald Trump";2;2;4;5;2;2;1;1;1;1;3;1;1;1;1;1;4;3;2;20171116;"070255";247
"m4w22385mv70";70;1;11;;;2;33;2;2;4;1;2;3;2;3;3;1;5;"Les &quot<SEP>actions&quot<SEP> de Nicolas Hulot, et les directives de Macron<LF>le terrorisme";"la ryder cup (un peu) et les jeux olympiques";1;1;3;2;2;2;1;2;2;2;2;2;2;2;2;2;4;5;;20171114;"200041";273
"m4t52362mv70";70;1;11;;;2;38;2;2;2;6;3;3;3;3;4;1;4;"je ne sais pas";"je ne sais pas";2;2;1;4;3;2;2;1;1;2;3;1;2;1;1;1;5;6;7;20171116;"140708";331
"y4p42368mv70";70;1;11;;;1;32;2;1;;;2;2;2;2;2;1;4;"marine le pen";"rien";3;7;;;3;3;2;2;2;2;2;1;2;2;3;1;4;;;20171116;"100934";1745
"q4m28386mv70";70;1;11;;;1;49;3;2;4;6;4;3;2;3;2;1;5;"macron trump";"...";3;4;;;3;2;2;1;2;2;2;1;2;1;1;3;4;7;6;20171114;"195012";211
